,,Duplicate,Permno,Permco,,
SN,0,,,,,
WPX,0,,,,,
KORS,0,,,,,
GZT,0,,,,,
CNDO,0,,,,,
FBIO,0,,,,,
JIVE,0,,,,,
KIPO,0,,,,,
BDCV,0,,,,,
XRDC,0,,,,,
MCEP,0,,,,,
MEMP,0,,,,,
SGYP,0,,,,,
TRIP,0,,,,,
ZNGA,0,,,,,
GWRE,0,,,,,
URTH,0,,,,,
JE,0,,,,,
POST,0,,,,,
EELV,0,,,,,
PVG,0,,,,,
RINF,0,,,,,
RLGT,0,,,,,
REGI,0,,,,,
VSTM,0,,,,,
ARP,0,,,,,
TAN,0,,,,,
EPAM,0,,,,,
GSE,0,,,,,
GWAY,0,,,,,
RING,0,,,,,
PICK,0,,,,,
GOVT,0,,,,,
FRAK,0,,,,,
MTDR,0,,,,,
PRLB,0,,,,,
RNDY,0,,,,,
SLCA,0,,,,,
AVG,0,,,,,
BCOV,0,,,,,
BV,0,,,,,
CCXI,0,,,,,
CEMP,0,,,,,
MLNT,0,,,,,
CUI,0,,,,,
CZR,0,,,,,
HLSS,0,,,,,
HMST,0,,,,,
SSH,0,,,,,
SYNC,0,,,,,
ALSN,0,,,,,
BNNY,0,,,,,
DWRE,0,,,,,
QQQE,0,,,,,
ET,0,,,,,
MM,0,,,,,
NSM,0,,,,,
BOND,0,,,,,
TTT,0,,,,,
RM,0,,,,,
NL,0,,,,,
RXN,0,,,,,
SJNK,0,,,,,
SIR,0,,,,,
VNTV,0,,,,,
VIPS,0,,,,,
VCRA,0,,,,,
WHZ,0,,,,,
YELP,0,,,,,
GLOG,0,,,,,
CSTE,0,,,,,
ENPH,0,,,,,
GALT,0,,,,,
MACK,0,,,,,
MTSI,0,,,,,
NVDQ,0,,,,,
PRSS,0,,,,,
ACRE,0,,,,,
FET,0,,,,,
BLOX,0,,,,,
MRC,0,,,,,
MOAT,0,,,,,
IHY,1,1,,,,
ANGL,1,1,,,,
NCQ,0,,,,,
TMQ,0,,,,,
OAK,0,,,,,
PBA,0,,,,,
PSX,0,,,,,
RPAI,0,,,,,
SDR,0,,,,,
TUMI,0,,,,,
CLIR,0,,,,,
ENVI,0,,,,,
FRGI,0,,,,,
PFPT,0,,,,,
SPLK,0,,,,,
TCPC,0,,,,,
ALFA,1,1,,,,
EVER,0,,,,,
IMUC,0,,,,,
GYLD,1,1,,,,
ROYT,0,,,,,
PDH,0,,,,,
TAHO,0,,,,,
TLYS,0,,,,,
WAGE,0,,,,,
WMC,0,,,,,
ADNC,1,1,,,,
CG,0,,,,,
FB,0,,,,,
IRG,0,,,,,
SUPN,0,,,,,
TROV,0,,,,,
SSC,0,,,,,
SDOG,0,,,,,
ALEX,0,,,,,
BKW,1,1,,,,
EQM,0,,,,,
EMLP,0,,,,,
GURU,1,1,,,,
HTA,0,,,,,
HECO,1,1,,,,
EUFX,0,,,,,
NOW,0,,,,,
TROX,0,,,,,
EXA,0,,,,,
TSRO,0,,,,,
AMRE,0,,,,,
EGL,0,,,,,
HUSE,1,1,,,,
ANAT,0,,,,,
